id,type,title,authors,year,journal,pages
li_efficient_2025,article,An efficient PCBA semantic segmentation network based on automated optical inspection,"Li, Tingxin; Qi, Kunkun; Liu, Weihua; Yang, Xianqiang; Sun, Hao",2025,Optics and Lasers in Engineering,
mendizabal-arrieta_deep_2025,article,Deep learning-based solder joint defect detector,"Mendizabal-Arrieta, Inigo; alvarez, Hugo; Aguinaga, Daniel; Pellicer, Asier; Sanchez, Jairo R.; Torres, Fernando",2025,International Journal of Advanced Manufacturing Technology,5133 - 5147
zhang_defect_2025,inproceedings,Defect detection of PCB-AoI dataset based on improved YOLOv10 algorithm,"Zhang, Qingchen; Xu, Xinyu; Wang, Zhibo; Wen, Yanhuan",2025,"Proceedings of the 4th International Conference on Computer, Artificial Intelligence and Control Engineering",60 - 66
geng_ear-yolo_2025,article,EAR-YOLO: An Improved Model for Printed Circuit Board Surface Defect Detection,"Geng, Rui; Zhao, Nannan; Wang, Yang; Ouyang, Xinyu",2025,Engineering Letters,1519 - 1529
zheng_quantitative_2025,article,Quantitative Detection of Micro Hole Wall Roughness in PCBs Based on Improved U-Net Model,"Zheng, Lijuan; Li, Yonghao; Sun, Zhuangzhuang; Luo, Yangquan; Xu, Ying; Wang, Jun; Wang, Chengyong; Wei, Xin",2025,Chinese Journal of Mechanical Engineering (English Edition),
kim_design_2024,article,Design and Development of a Precision Defect Detection System Based on a Line Scan Camera Using Deep Learning,"Kim, Byungcheol; Shin, Moonsun; Hwang, Seonmin",2024,Applied Sciences (Switzerland),
manfredi_uncertainty_2024,inproceedings,Uncertainty Quantification and Sensitivity Analysis of Crosstalk in PCB Lines via the Combination of Machine Learning and Polynomial Chaos Expansion,"Manfredi, Paolo; Trinchero, Riccardo",2024,,639 - 642
lee__2024,article,이상 감지 모델 기반 PCB 제조 공정 중 비전검사 방법,"Lee, Sang-Jeong; Seo, Sung-Bal; Bae, You-Suk",2024,Transactions of the Korean Institute of Electrical Engineers,2024 - 2029
ma_deepgd3_2023,inproceedings,DeepGD3: Unknown-Aware Deep Generative/Discriminative Hybrid Defect Detector for PCB Soldering Inspection,"Ma, Ching-Wen; Liu, Yanwei",2023,Proceedings of Machine Learning Research,1326 - 1335
pham_defect_2023,article,Defect Detection in Printed Circuit Boards Using Semi-Supervised Learning,"Pham, Thi Tram Anh; Thoi, Do Kieu Trang; Choi, Hyohoon; Park, Suhyun",2023,Sensors,
tangsuksant_defect_2023,inproceedings,Defect Solder Classification in Print Circuit Boards using Machine Learning,"Tangsuksant, Watcharin; Inthiam, Jiraphan; Silangren, Hattapat; Iamcharoen, Phattharaporn; Jitviriya, Wisanu",2023,Proceedings of International Conference on Artificial Life and Robotics,844 - 848
ulger_fine-grained_2023,article,Fine-Grained Classification of Solder Joints With -Skew Jensen-Shannon Divergence,"Ulger, Furkan; Yuksel, Seniha Esen; Yilmaz, Atila; Gokcen, Dincer",2023,"IEEE Transactions on Components, Packaging and Manufacturing Technology",257 - 264
passlack_innovative_2023,inproceedings,Innovative Fabrication of Polymer-Based Sensor Systems by Flip-Chip Integration of Ultrathin Chips Using Nanowires for Medical Applications,"Passlack, Ulrike; Albrecht, Bjoern; Harendt, Christine; Weissenborn, Florian; Quednau, Sebastian; Burghartz, Joachim N.",2023,,480 - 482
ling_precise_2023,article,Precise Detection for Dense PCB Components Based on Modified YOLOv8,"Ling, Qin; Isa, Nor Ashidi Mat; Asaari, Mohd Shahrimie Mohd",2023,IEEE Access,116545 - 116560
niu_pcb_2022,inproceedings,A PCB Defect Detection Algorithm with Improved Faster R-CNN,"Niu, Junhao; Huang, Jin; Cui, Lili; Zhang, Benxin; Zhu, Aijun",2022,CEUR Workshop Proceedings,283 - 292
cai_defect_2022,inproceedings,Defect Identification of PCB Board Based on Machine Vision,"Cai, Li; Li, Jingchuan; Yuan, Yong",2022,"2nd International Symposium on Mechanical Systems and Electronic Engineering, ISMSEE 2022",312 - 315
chien_design_2022,inproceedings,Design of industrial inspection system based on GPU,"Chien, Chungchun; Chen, Dihu; Wang, Zixin; Cai, Zhigang; Chen, Jiarong",2022,"2nd International Symposium on Mechanical Systems and Electronic Engineering, ISMSEE 2022",237 - 241
yesilbas_rethinking_2022,inproceedings,Rethinking Pre-Training in Industrial Quality Control,"Yesilbas, Dilara; Arnold, Stefan; Felker, Alex",2022,"17th International Conference on Wirtschaftsinformatik, WI 2022",
vandevelde_enhanced_2021,inproceedings,Enhanced processability and thermal fatigue reliability with low melting point SnBi solder alloy LMPA-Q,"Vandevelde, Bart; Nawghane, Chinmay; Labie, Riet; Lauwaert, Ralph; Werkhoven, Daniel",2021,,
bougaham_ganodip_2021,inproceedings,GanoDIP - GAN Anomaly Detection through Intermediate Patches: A PCBA Manufacturing Case,"Bougaham, Arnaud; Bibal, Adrien; Linden, Isabelle; Fr{\'e}nay, Beno{\^\i}t",2021,Proceedings of Machine Learning Research,104 - 117
sun_modular_2021,article,The Modular Integrated Stackable Layer- Analog System Environment Board Design for Experiential Learning of Embedded Systems,"Sun, Gang; Morgan, Joseph; Porte, Jay",2021,Journal of Engineering Technology,50 - 61
kalber_u-net_2021,inproceedings,U-Net based zero-hour defect inspection of electronic components and semiconductors,"K{\""a}lber, Florian; K{\""o}p{\""u}kl{\""u}, Okan; Lehment, Nicolas; Rigoll, Gerhard",2021,"VISIGRAPP 2021 - Proceedings of the 16th International Joint Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications",593 - 601
anitha_bare_2020,article,BARE BOARD MULTILAYER PRINTED CIRCUIT BOARD DEFECT IDENTIFICATION FOLLOWED BY LOCALIZATION,"Anitha, D.B.; Rao, Mahesh K",2020,International Journal of Computer Information Systems and Industrial Management Applications,310 - 329
prathima_defect_2020,article,Defect detection in PCB using image processing,"Prathima, G.; Yasaswini Naga Lakshmi, A.; Vinay Kumar, C.; Manikanta, A.; Jaya Sandeep, B.",2020,International Journal of Advanced Science and Technology,1205 - 1210
ye_detection_2020,article,Detection and Classification of Printed Circuit Board Assembly Defects Based on Deep Learning; [基於深度學習的印刷電路板元件組裝瑕疵檢測與分類],"Ye, Ruifang; Pan, Chia-Sheng; Hung, Pei-Yuan; Chang, Ming; Chen, Kuan-Yu",2020,"Journal of the Chinese Society of Mechanical Engineers, Transactions of the Chinese Institute of Engineers, Series C/Chung-Kuo Chi Hsueh Kung Ch\textquotesingle eng Hsuebo Pao",401 - 407
